"id","age","colorblind","correctGazeanswer","diff_remember","diff_understand","freq_game","gender","played_tang","options","gaze_response.corr","gaze_response.keys","RT","trials_gaze.thisN","manipulation","stimulus_type"
"Jegor62",61,"No","right","Neither nor","Neither nor","Monthly","Male","No","gaze7_plain.png","1","right",2.7717,10,"original","gaze7"
"jyd78nhg79",18,"No","left","Agree","Disagree","Semi-annually","Female","No","gaze1_plain.png","1","left",1.1584,0,"original","gaze1"
"jyd78nhg79",18,"No","right","Agree","Disagree","Semi-annually","Female","No","gaze3_plain.png","1","right",1.6113,1,"original","gaze3"
"jyd78nhg79",18,"No","left","Agree","Disagree","Semi-annually","Female","No","gaze4_cue.png","1","left",1.1651,2,"edited","gaze4"
"jyd78nhg79",18,"No","right","Agree","Disagree","Semi-annually","Female","No","gaze6_cue.png","1","right",0.8254,3,"edited","gaze6"
"jyd78nhg79",18,"No","left","Agree","Disagree","Semi-annually","Female","No","gaze4_plain.png","1","left",1.2246,4,"original","gaze4"
"jyd78nhg79",18,"No","up","Agree","Disagree","Semi-annually","Female","No","gaze5_plain.png","1","up",1.3582,5,"original","gaze5"
"jyd78nhg79",18,"No","right","Agree","Disagree","Semi-annually","Female","No","gaze3_cue.png","0","up",0.983,6,"edited","gaze3"
"jyd78nhg79",18,"No","right","Agree","Disagree","Semi-annually","Female","No","gaze7_cue.png","0","up",2.3093,7,"edited","gaze7"
"jyd78nhg79",18,"No","left","Agree","Disagree","Semi-annually","Female","No","gaze1_cue.png","1","left",1.0242,8,"edited","gaze1"
"jyd78nhg79",18,"No","up","Agree","Disagree","Semi-annually","Female","No","gaze5_cue.png","1","up",1.2606,9,"edited","gaze5"
"jyd78nhg79",18,"No","left","Agree","Disagree","Semi-annually","Female","No","gaze2_cue.png","0","right",2.7423,10,"edited","gaze2"
"jyd78nhg79",18,"No","left","Agree","Disagree","Semi-annually","Female","No","gaze2_plain.png","0","right",0.9138,11,"original","gaze2"
"jyd78nhg79",18,"No","right","Agree","Disagree","Semi-annually","Female","No","gaze6_plain.png","1","right",0.9916,12,"original","gaze6"
